Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Chris Green,787073,4,0,17,1,4.25,0,0,0
Clint McKay,6903,3,0,21,0,7.00,1,0,0
Carlos Brathwaite,457249,4,0,21,3,5.25,1,0,0
Shane Watson,8180,4,0,16,1,4.00,1,0,0
Fawad Ahmed,240609,4,0,14,4,3.50,0,0,0
Arjun Nair,901157,1,0,7,0,7.00,0,0,0
Jackson Bird,215152,2,0,21,0,10.50,0,0,1
Johan Botha,44149,1,0,12,0,12.00,0,0,1
Sean Abbott,398666,4,0,36,2,9.00,0,0,1
Nathan Lyon,272279,2,0,20,0,10.00,0,0,1
Ben Dwarshuis,679567,1,0,8,0,8.00,1,0,1
