Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Andre Russell,276298,2,0,16,0,8.00,4,2,0,2,0,0
Prasidh Krishna,917159,4,0,41,1,10.25,8,4,2,1,0,0
Tom Curran,550235,3,0,33,1,11.00,5,2,2,1,1,0
Sunil Narine,230558,4,0,27,1,6.75,11,1,2,0,0,0
Piyush Chawla,32966,4,0,48,3,12.00,10,6,3,0,0,0
Kuldeep Yadav,559235,3,0,43,0,14.33,5,1,5,0,0,0
Mitchell McClenaghan,319439,3,0,24,1,8.00,11,4,1,0,0,1
Krunal Pandya,471342,3.1,0,12,2,3.78,12,0,1,0,0,1
Jasprit Bumrah,625383,3,0,17,1,5.66,10,1,1,0,0,1
Hardik Pandya,625371,3,0,16,2,5.33,11,3,0,0,0,1
Mayank Markande,1081442,4,0,26,1,6.50,10,2,1,0,0,1
Ben Cutting,230371,2,0,12,1,6.00,6,2,0,0,0,1
