Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Agha Salman,623977,1,0,5,0,5.00,4,1,0,0,0,0
Sohail Khan,317252,3,0,28,1,9.33,8,4,1,0,0,0
Sunil Narine,230558,4,0,16,2,4.00,12,1,0,0,0,0
Yasir Shah,43685,4,0,27,0,6.75,10,2,1,0,0,0
Mitchell McClenaghan,319439,4,0,31,1,7.75,9,5,0,1,0,0
Shaheen Shah Afridi,1072470,3.4,1,4,5,1.09,18,0,0,0,0,0
Sohail Tanvir,43265,3.4,0,29,0,7.90,9,3,1,0,0,1
Mohammad Irfan,429981,4,1,20,1,5.00,16,4,0,0,0,1
Shoaib Malik,42657,1,0,6,1,6.00,3,1,0,0,0,1
Imran Tahir,40618,4,0,26,1,6.50,10,3,0,0,0,1
Junaid Khan,259551,4,0,19,0,4.75,13,2,0,0,0,1
Saif Badar,922967,2,0,15,1,7.50,5,0,1,1,0,1
