Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jayant Yadav,447587,4,0,26,0,6.50,12,1,2,0,0,0
Kagiso Rabada,550215,4,0,59,0,14.75,4,10,1,0,1,0
Chris Morris,439952,4,0,36,0,9.00,7,4,1,0,0,0
Mohammed Shami,481896,4,0,36,2,9.00,8,5,0,1,0,0
Amit Mishra,31107,4,0,23,1,5.75,9,2,0,1,0,0
Bhuvneshwar Kumar,326016,4,0,33,1,8.25,9,3,1,0,0,1
Mohammed Siraj,940973,4,0,41,2,10.25,7,3,3,0,0,1
Siddarth Kaul,326017,4,0,38,1,9.50,7,1,3,1,0,1
Moises Henriques,5961,2.1,0,36,0,16.61,1,6,1,1,0,1
Rashid Khan,793463,4,0,24,0,6.00,8,2,0,0,0,1
Yuvraj Singh,36084,1,0,16,0,16.00,0,0,2,0,0,1
