Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Vishwa Fernando,465783,26,3,87,2,3.34,1,1,0
Lahiru Kumara,784375,23,1,104,0,4.52,1,0,0
Dimuth Karunaratne,227772,7,0,30,0,4.28,0,0,0
Dilruwan Perera,49920,8,1,36,0,4.50,0,1,0
Lakshan Sandakan,429738,35.3,4,132,5,3.71,4,0,0
Malinda Pushpakumara,50205,23,2,82,3,3.56,0,0,0
Mohammed Shami,481896,6.5,1,17,2,2.48,1,0,1
Umesh Yadav,376116,3.1,0,23,0,7.26,1,0,1
Hardik Pandya,625371,6,1,28,1,4.66,0,0,1
Kuldeep Yadav,559235,13,2,40,4,3.07,0,0,1
Ravichandran Ashwin,26421,8.4,2,22,2,2.53,0,0,1
Mohammed Shami,481896,15,6,32,3,2.13,0,1,2
Ravichandran Ashwin,26421,28.3,6,68,4,2.38,0,0,2
Umesh Yadav,376116,13,5,21,2,1.61,0,0,2
Kuldeep Yadav,559235,17,4,56,1,3.29,0,0,2
Hardik Pandya,625371,1,0,2,0,2.00,0,0,2
