Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Sheldon Cottrell,495551,9,0,64,1,7.11,28,3,4,1,0,0
Jason Holder,391485,7,0,88,0,12.57,13,7,6,1,1,0
Ashley Nurse,315594,10,0,68,1,6.80,29,6,3,0,0,0
Devendra Bishoo,341593,4,0,43,0,10.75,8,2,4,1,0,0
Carlos Brathwaite,457249,10,0,69,2,6.90,31,8,3,1,0,0
Oshane Thomas,914567,10,0,84,2,8.40,28,8,4,3,1,0
Chris Woakes,247235,10,0,91,0,9.10,27,6,7,5,0,1
Mark Wood,351588,10,0,60,4,6.00,32,6,2,1,0,1
Liam Plunkett,19264,8,0,40,0,5.00,23,2,1,3,0,1
Ben Stokes,311158,8,0,77,1,9.62,16,8,3,2,1,1
Adil Rashid,244497,10,0,85,5,8.50,27,6,6,1,0,1
Moeen Ali,8917,2,0,31,0,15.50,3,2,3,0,0,1
