Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mohammad Amir,290948,24,2,83,0,3.45,0,0,0
Imran Khan,316363,27,4,111,2,4.11,0,2,0
Wahab Riaz,43590,28,4,89,3,3.17,2,2,0
Yasir Shah,43685,40,2,167,1,4.17,0,0,0
Azhar Ali,39037,14,0,70,2,5.00,0,0,0
Asad Shafiq,316397,2,0,12,0,6.00,0,0,0
Mitchell Starc,311592,26,7,77,1,2.96,0,0,1
Josh Hazlewood,288284,27.3,7,55,4,2.00,0,0,1
Steve O'Keefe,7069,20,3,50,1,2.50,0,0,1
Nathan Lyon,272279,33,3,115,3,3.48,0,0,1
Hilton Cartwright,557295,4,0,15,0,3.75,0,0,1
Imran Khan,316363,6,2,43,0,7.16,0,0,2
Yasir Shah,43685,14,0,124,1,8.85,0,0,2
Wahab Riaz,43590,7,0,28,1,4.00,1,1,2
Azhar Ali,39037,5,0,40,0,8.00,0,0,2
Mitchell Starc,311592,17,2,57,1,3.35,0,1,3
Josh Hazlewood,288284,18.2,7,29,3,1.58,0,0,3
Nathan Lyon,272279,27,6,100,2,3.70,0,0,3
Steve O'Keefe,7069,17,4,53,3,3.11,0,0,3
Steven Smith,267192,1,0,5,0,5.00,0,0,3
