Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,11,2,33,0,3.00,0,1,0
Dilruwan Perera,49920,32.5,1,113,3,3.44,0,0,0
Malinda Pushpakumara,50205,20,3,64,2,3.20,0,0,0
Lakshan Sandakan,429738,22,0,95,5,4.31,0,0,0
Dhananjaya de Silva,465793,5,0,16,0,3.20,0,0,0
Danushka Gunathilaka,345821,2,0,5,0,2.50,0,0,0
Stuart Broad,10617,9,2,36,0,4.00,0,0,1
Jack Leach,455524,18,2,59,1,3.27,0,0,1
Moeen Ali,8917,13,2,55,0,4.23,0,0,1
Adil Rashid,244497,13.5,2,49,5,3.54,0,0,1
Joe Root,303669,2,0,4,0,2.00,0,0,1
Ben Stokes,311158,10,1,30,3,3.00,1,0,1
Dilruwan Perera,49920,29.5,3,88,5,2.94,0,0,2
Malinda Pushpakumara,50205,12,2,28,3,2.33,0,0,2
Dhananjaya de Silva,465793,9,1,24,0,2.66,0,0,2
Suranga Lakmal,49619,3,1,7,0,2.33,1,1,2
Lakshan Sandakan,429738,16,1,76,2,4.75,0,2,2
Stuart Broad,10617,5,0,14,0,2.80,3,0,3
Moeen Ali,8917,26,3,92,4,3.53,0,0,3
Jack Leach,455524,28.4,4,72,4,2.51,0,0,3
Ben Stokes,311158,8,1,25,1,3.12,2,1,3
Adil Rashid,244497,19,1,73,0,3.84,0,1,3
