Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Stuart Broad,10617,25,2,97,3,3.88,0,0,0
Jofra Archer,669855,27,3,97,0,3.59,0,1,0
Ben Stokes,311158,10.5,0,66,0,6.09,0,2,0
Jack Leach,455524,26.1,3,83,2,3.17,0,1,0
Craig Overton,464626,28,3,85,2,3.03,3,0,0
Joe Denly,12454,3,1,8,0,2.66,0,0,0
Joe Root,303669,6,0,39,1,6.50,0,0,0
Mitchell Starc,311592,22,7,80,3,3.63,0,0,1
Josh Hazlewood,288284,25,6,57,4,2.27,0,1,1
Pat Cummins,489889,24,6,60,3,2.50,1,3,1
Nathan Lyon,272279,36,4,89,0,2.47,0,0,1
Stuart Broad,10617,14,4,54,2,3.85,1,0,2
Jofra Archer,669855,14,2,45,3,3.21,0,1,2
Craig Overton,464626,5.5,1,22,0,3.77,2,0,2
Jack Leach,455524,9,0,58,1,6.44,0,0,2
Pat Cummins,489889,24,9,43,4,1.79,0,2,3
Josh Hazlewood,288284,17.3,5,31,2,1.77,0,0,3
Nathan Lyon,272279,29,12,51,2,1.75,0,0,3
Mitchell Starc,311592,16,2,46,1,2.87,0,0,3
Marnus Labuschagne,787987,4,1,9,1,2.25,0,0,3
Travis Head,530011,1,1,0,0,0.00,0,0,3
