Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mohammad Abbas,389666,12,7,13,2,1.08,0,0,0
Hasan Ali,681305,16,6,38,2,2.37,0,0,0
Bilal Asif,498875,13,1,33,1,2.53,0,0,0
Yasir Shah,43685,16.3,2,54,3,3.27,0,0,0
Haris Sohail,318788,8,2,11,2,1.37,0,0,0
Mohammad Hafeez,41434,1,1,0,0,0.00,0,0,0
Trent Boult,277912,18.2,6,54,4,2.94,0,0,1
Colin de Grandhomme,55395,13,6,30,2,2.30,0,0,1
Ajaz Patel,595783,24,4,64,2,2.66,0,0,1
Neil Wagner,233713,18,5,30,1,1.66,1,1,1
Ish Sodhi,559066,10,0,41,1,4.09,0,0,1
Mohammad Abbas,389666,22,10,31,0,1.40,0,0,2
Hasan Ali,681305,17.4,3,45,5,2.54,1,1,2
Yasir Shah,43685,37,6,110,5,2.97,0,0,2
Haris Sohail,318788,7,1,12,0,1.71,0,0,2
Bilal Asif,498875,14,3,43,0,3.07,0,0,2
Mohammad Hafeez,41434,3,1,4,0,1.33,0,0,2
Trent Boult,277912,7,0,29,0,4.14,0,0,3
Colin de Grandhomme,55395,3,0,15,0,5.00,0,0,3
Ajaz Patel,595783,23.4,4,59,5,2.49,0,0,3
Ish Sodhi,559066,12,0,37,2,3.08,0,0,3
Neil Wagner,233713,13,4,27,2,2.07,0,0,3
