Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jhye Richardson,774223,10,0,64,2,6.40,31,7,2,1,0,0
Kane Richardson,272262,8,0,56,2,7.00,23,7,1,1,0,0
Ashton Agar,505120,9,0,52,0,5.77,18,4,0,0,0,0
Marcus Stoinis,325012,10,0,60,1,6.00,24,5,1,0,0,0
Andrew Tye,459508,9,0,81,2,9.00,17,11,1,3,0,0
D'Arcy Short,308798,4,0,24,0,6.00,10,2,0,0,0,0
David Willey,308251,7,0,40,0,5.71,21,4,0,1,0,1
Mark Wood,351588,9,1,57,1,6.33,31,4,3,4,0,1
Liam Plunkett,19264,9.1,1,53,4,5.78,32,8,0,1,0,1
Moeen Ali,8917,10,0,47,2,4.70,27,4,0,0,0,1
Joe Root,303669,4,0,24,0,6.00,12,2,1,0,0,1
Adil Rashid,244497,8,0,70,3,8.75,11,6,0,1,0,1
