Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jerome Taylor,53191,4,0,53,1,13.25,6,4,4,0,1,0
Samuel Badree,51433,4,0,51,0,12.75,6,5,3,1,0,0
Ashley Nurse,315594,4,0,43,0,10.75,4,2,3,0,0,0
Carlos Brathwaite,457249,4,0,50,2,12.50,4,1,3,2,0,0
Rayad Emrit,51784,4,0,42,1,10.50,5,0,4,0,0,0
Tim Southee,232364,2.3,0,21,3,8.40,8,3,1,0,0,1
Trent Boult,277912,4,0,29,2,7.25,12,3,0,3,2,1
Anaru Kitchen,384355,4,0,33,1,8.25,12,3,2,1,0,1
Mitchell Santner,502714,2,0,16,0,8.00,4,1,1,0,0,1
Ish Sodhi,559066,4,0,25,2,6.25,14,0,3,0,0,1
