Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Thomas Rogers,627627,3,0,31,0,10.33,0,0,0
Clive Rose,288285,3,0,12,0,4.00,0,0,0
Riley Meredith,961713,4,0,27,3,6.75,1,0,0
Qais Ahmad,914171,4,0,34,1,8.50,0,0,0
Nathan Ellis,826915,4,0,31,0,7.75,0,2,0
Simon Milenko,326639,1,0,16,0,16.00,0,0,0
D'Arcy Short,308798,1,0,10,0,10.00,0,0,0
Daniel Worrall,557298,2,0,20,0,10.00,1,0,1
Glenn Maxwell,325026,3,0,15,2,5.00,0,0,1
Haris Rauf,1161606,4,0,27,5,6.75,3,0,1
Sandeep Lamichhane,960361,3,0,18,1,6.00,1,0,1
Adam Zampa,379504,4,0,29,2,7.25,0,0,1
