Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mohammad Hasnain,1158100,4,0,22,1,5.50,0,0,0
Haris Rauf,1161606,4,0,38,1,9.50,2,0,0
Imad Wasim,227758,4,0,27,2,6.75,0,0,0
Muhammad Musa,1072472,4,0,23,0,5.75,0,0,0
Usman Qadir,348152,4,0,13,4,3.25,1,0,0
Blessing Muzarabani,827051,2,0,13,0,6.50,0,0,1
Donald Tiripano,392945,2,0,17,0,8.50,2,0,1
Faraz Akram,1122851,2.2,0,12,0,5.14,1,0,1
Wellington Masakadza,571703,2,0,19,1,9.50,0,0,1
Wesley Madhevere,938959,2,0,14,0,7.00,0,0,1
Ryan Burl,495964,3,0,27,0,9.00,1,0,1
Milton Shumba,951781,2,0,28,1,14.00,1,0,1
