Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Kagiso Rabada,550215,9,1,35,2,3.88,37,3,1,2,0,0
Dane Paterson,327947,8,1,37,0,4.62,30,4,0,2,0,0
Duanne Olivier,486679,9,0,51,1,5.66,22,3,1,1,0,0
Andile Phehlukwayo,540316,9.5,2,22,4,2.23,47,1,1,1,0,0
Tabraiz Shamsi,379145,10,0,56,3,5.60,28,4,1,1,0,0
Faheem Ashraf,681117,7,0,32,0,4.57,28,5,0,0,0,1
Shaheen Shah Afridi,1072470,9,0,44,3,4.88,33,7,0,2,0,1
Mohammad Hafeez,41434,6,0,36,0,6.00,17,2,2,0,0,1
Hasan Ali,681305,8,0,31,0,3.87,29,3,0,0,0,1
Shadab Khan,922943,10,0,46,2,4.59,37,7,0,0,0,1
Hussain Talat,628240,2,0,16,0,8.00,5,2,0,1,0,1
