Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Glenn Maxwell,325026,3,0,18,0,6.00,3,1,0,0,0,0
Daniel Worrall,557298,2,0,19,0,9.50,5,3,0,0,0,0
Haris Rauf,1161606,4,0,23,3,5.75,11,1,1,2,0,0
Sandeep Lamichhane,960361,4,0,39,0,9.75,6,3,2,0,0,0
Adam Zampa,379504,4,0,22,1,5.50,7,0,0,0,0,0
Nathan Coulter-Nile,261354,3,0,16,1,5.33,7,1,0,0,0,0
Daniel Sams,826901,4,0,36,1,9.00,7,4,1,0,0,1
Chris Morris,439952,3.5,0,29,0,7.56,9,4,0,0,0,1
Chris Tremain,553800,3,0,25,0,8.33,8,2,1,1,1,1
Nathan McAndrew,785323,3,0,23,0,7.66,7,3,0,2,0,1
Jonathan Cook,1137279,2,0,18,1,9.00,4,1,1,0,0,1
Arjun Nair,901157,2,0,15,1,7.50,3,2,0,0,0,1
