Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Adil Rashid,244497,4,0,31,1,7.75,8,0,3,0,0,0
Jofra Archer,669855,4,0,43,0,10.75,4,5,0,1,0,0
Mark Wood,351588,4,0,53,0,13.25,5,6,2,1,0,0
Chris Jordan,288992,4,0,57,0,14.25,4,6,3,0,0,0
Sam Curran,662973,1,0,11,0,11.00,1,0,1,0,0,0
Ben Stokes,311158,3,0,26,1,8.66,6,1,2,0,0,0
Bhuvneshwar Kumar,326016,4,0,15,2,3.75,17,1,0,4,0,1
Hardik Pandya,625371,4,0,34,1,8.50,9,3,1,4,0,1
Washington Sundar,719715,1,0,13,0,13.00,0,2,0,0,0,1
Shardul Thakur,475281,4,0,45,3,11.25,10,3,4,0,0,1
T Natarajan,802575,4,0,39,1,9.75,7,5,1,0,0,1
Rahul Chahar,1064812,3,0,33,0,11.00,4,0,3,3,0,1
