Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mitchell Starc,311592,19,4,63,2,3.31,0,0,0
Josh Hazlewood,288284,20,3,52,3,2.60,0,0,0
Pat Cummins,489889,19,3,49,2,2.57,0,0,0
Nathan Lyon,272279,28,2,83,2,2.96,0,0,0
Travis Head,530011,2,1,2,0,1.00,0,0,0
Ishant Sharma,236779,20,6,47,2,2.35,0,2,1
Jasprit Bumrah,625383,24,9,47,3,1.95,1,0,1
Mohammed Shami,481896,16.4,6,58,2,3.48,0,0,1
Ravichandran Ashwin,26421,34,9,57,3,1.67,0,0,1
Murali Vijay,237095,4,1,10,0,2.50,0,0,1
Mitchell Starc,311592,21.5,7,40,3,1.83,0,0,2
Josh Hazlewood,288284,23,13,43,1,1.86,0,0,2
Pat Cummins,489889,18,4,55,0,3.05,2,0,2
Nathan Lyon,272279,42,7,122,6,2.90,0,0,2
Travis Head,530011,2,0,13,0,6.50,0,0,2
Ishant Sharma,236779,19,4,48,1,2.52,0,3,3
Jasprit Bumrah,625383,24,8,68,3,2.83,0,0,3
Ravichandran Ashwin,26421,52.5,13,92,3,1.74,0,0,3
Mohammed Shami,481896,20,4,65,3,3.25,0,0,3
Murali Vijay,237095,4,0,11,0,2.75,0,0,3
