Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jackson Bird,215152,4,1,22,2,5.50,12,3,0,0,0,0
Marcus Stoinis,325012,4,0,19,3,4.75,13,1,1,0,0,0
Liam Plunkett,19264,3,0,21,2,7.00,8,0,2,0,0,0
Adam Zampa,379504,4,0,29,2,7.25,8,2,1,0,0,0
Dwayne Bravo,51439,3.3,0,25,1,7.14,7,2,0,2,0,0
Tom O'Connell,1159591,1,0,4,0,4.00,3,0,0,0,0,0
Mohammad Nabi,25913,2,0,9,1,4.50,4,0,0,0,0,1
Kane Richardson,272262,4,0,17,2,4.25,12,1,0,0,0,1
Harry Gurney,244639,4,0,25,0,6.25,9,2,0,3,0,1
Jack Wildermuth,570854,2.2,0,17,0,7.28,4,2,0,0,0,1
Cameron Boyce,326625,4,0,31,0,7.75,5,2,1,0,0,1
Dan Christian,4864,3,0,25,0,8.33,7,3,1,0,0,1
