Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Tendai Chatara,425639,9,0,71,0,7.88,1,1,0
Richard Ngarava,806241,7,0,37,2,5.28,5,0,0
Chris Mpofu,55633,9,0,46,3,5.11,1,0,0
Graeme Cremer,55346,10,0,40,1,4.00,0,0,0
Sean Williams,55870,10,1,34,1,3.40,1,0,0
Solomon Mire,290462,5,0,22,0,4.40,0,0,0
Amir Hamza,402245,4,0,20,3,5.00,2,0,1
Dawlat Zadran,516561,2,1,2,1,1.00,0,0,1
Gulbadin Naib,352048,2,0,8,1,4.00,0,0,1
Mohammad Nabi,25913,3.5,0,14,3,3.65,0,0,1
Rashid Khan,793463,2,0,8,2,4.00,0,0,1
