Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Clint McKay,6903,2,0,10,1,5.00,0,0,0
Pat Cummins,489889,4,0,36,2,9.00,1,0,0
Carlos Brathwaite,457249,3,0,31,2,10.33,1,0,0
Shane Watson,8180,4,0,30,0,7.50,1,0,0
Chris Green,787073,3,0,32,0,10.66,0,0,0
Fawad Ahmed,240609,4,0,19,0,4.75,0,0,0
Clive Rose,288285,2,0,22,0,11.00,0,0,1
Stuart Broad,10617,4,0,23,1,5.75,0,0,1
Dan Christian,4864,4,0,43,1,10.75,0,0,1
Shaun Tait,8076,2,0,32,0,16.00,0,1,1
Cameron Boyce,326625,3.5,0,28,2,7.30,0,0,1
D'Arcy Short,308798,1,0,10,0,10.00,0,0,1
