Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Josh Hazlewood,288284,26,3,86,0,3.30,0,0,0
Chadd Sayers,261230,35,9,78,2,2.22,0,0,0
Pat Cummins,489889,28.5,5,83,5,2.87,1,0,0
Nathan Lyon,272279,40,3,182,3,4.55,0,0,0
Mitchell Marsh,272450,6,1,30,0,5.00,0,0,0
Matt Renshaw,722303,1,0,4,0,4.00,0,0,0
Vernon Philander,46945,18,8,30,3,1.66,0,0,1
Kagiso Rabada,550215,19,7,53,3,2.78,0,1,1
Morne Morkel,46538,12.2,3,34,1,2.75,0,2,1
Keshav Maharaj,267724,20,3,92,3,4.59,0,0,1
Aiden Markram,600498,0.4,0,0,0,0.00,0,0,1
Josh Hazlewood,288284,21,6,41,0,1.95,0,0,2
Chadd Sayers,261230,14,2,68,0,4.85,0,0,2
Nathan Lyon,272279,41,13,116,2,2.82,0,0,2
Pat Cummins,489889,18,5,58,4,3.22,0,0,2
Mitchell Marsh,272450,8,0,40,0,5.00,0,0,2
Matt Renshaw,722303,3,0,9,0,3.00,0,0,2
Kagiso Rabada,550215,8,3,16,0,2.00,0,4,3
Vernon Philander,46945,13,5,21,6,1.61,0,1,3
Keshav Maharaj,267724,13,2,47,1,3.61,0,1,3
Morne Morkel,46538,10.4,5,28,2,2.62,0,1,3
Aiden Markram,600498,2,0,6,0,3.00,0,0,3
