Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Jaydev Unadkat,390484,3,1,12,2,4.00,14,1,1,0,0,0
Shardul Thakur,475281,4,0,19,3,4.75,16,3,0,2,0,0
Ben Stokes,311158,3,0,10,0,3.33,12,1,0,1,0,0
Adam Zampa,379504,3.5,0,22,2,5.73,8,0,1,0,0,0
Dan Christian,4864,2,0,10,2,5.00,4,0,0,0,0,0
Sandeep Sharma,438362,2,0,12,0,6.00,5,1,0,1,0,1
Mohit Sharma,537119,1,0,6,0,6.00,3,1,0,0,0,1
Ishant Sharma,236779,1,0,12,0,12.00,1,2,0,0,0,1
Rahul Tewatia,423838,3,0,14,0,4.66,10,0,1,0,0,1
Axar Patel,554691,2,0,13,1,6.50,2,1,0,0,0,1
Swapnil Singh,232292,1,0,6,0,6.00,1,0,0,0,0,1
Glenn Maxwell,325026,2,0,15,0,7.50,3,0,1,0,0,1
