Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Imran Tahir,40618,10,0,61,2,6.10,20,4,0,0,0,0
Lungi Ngidi,542023,10,0,66,3,6.60,28,6,2,2,0,0
Kagiso Rabada,550215,10,0,66,2,6.60,24,8,0,2,0,0
Dwaine Pretorius,327830,7,0,42,0,6.00,17,5,0,0,0,0
Andile Phehlukwayo,540316,8,0,44,1,5.50,23,4,0,4,0,0
Jean-Paul Duminy,44932,2,0,14,0,7.00,3,1,0,0,0,0
Aiden Markram,600498,3,0,16,0,5.33,10,1,1,0,0,0
Chris Woakes,247235,5,0,24,0,4.80,20,4,0,0,0,1
Jofra Archer,669855,7,1,27,3,3.85,29,4,0,1,0,1
Adil Rashid,244497,8,0,35,1,4.37,27,4,0,0,0,1
Moeen Ali,8917,10,0,63,1,6.30,28,6,2,0,0,1
Liam Plunkett,19264,7,0,37,2,5.28,20,1,2,0,0,1
Ben Stokes,311158,2.5,0,12,2,4.23,11,2,0,0,0,1
