Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Mohammad Amir,290948,10,0,50,3,5.00,32,6,0,3,0,0
Usman Shinwari,697279,8,1,41,1,5.12,28,4,1,2,0,0
Iftikhar Ahmed,480603,9,1,43,0,4.77,25,3,0,1,0,0
Wahab Riaz,43590,10,0,81,1,8.10,27,9,3,0,2,0
Shadab Khan,922943,9,0,50,1,5.55,24,1,1,2,0,0
Mohammad Nawaz,348148,4,0,24,1,6.00,9,3,0,0,0,0
Nuwan Pradeep,324358,9.2,1,53,2,5.67,34,8,1,0,0,1
Dasun Shanaka,437316,5,0,28,0,5.60,14,2,0,0,0,1
Lahiru Kumara,784375,7,0,55,1,7.85,14,6,1,1,0,1
Lakshan Sandakan,429738,10,0,62,0,6.20,23,3,1,1,0,1
PWH de Silva,784379,10,0,54,1,5.40,29,6,0,0,0,1
Shehan Jayasuriya,422965,7,0,39,1,5.57,11,1,0,0,0,1
