Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Suranga Lakmal,49619,10,0,47,2,4.70,27,2,0,3,0,0
Lahiru Gamage,268845,8,0,49,1,6.12,25,6,0,2,0,0
Akila Dananjaya,574178,8,0,51,1,6.37,23,3,2,2,0,0
Thisara Perera,233514,8,0,68,1,8.50,11,4,2,1,0,0
Jeffrey Vandersay,370040,10,0,47,1,4.70,28,4,0,0,0,0
Milinda Siriwardana,222354,6,0,28,0,4.66,16,2,0,0,0,0
Junaid Khan,259551,6,0,28,0,4.66,22,3,0,1,0,1
Rumman Raees,448243,9,1,49,3,5.44,32,8,0,0,0,1
Mohammad Hafeez,41434,10,2,32,1,3.20,38,1,1,0,0,1
Hasan Ali,681305,9,0,36,3,4.00,32,2,0,3,0,1
Shoaib Malik,42657,5,0,19,0,3.80,15,0,0,0,0,1
Shadab Khan,922943,7,0,26,1,3.71,24,2,0,2,0,1
Imad Wasim,227758,4,0,15,0,3.75,12,1,0,0,0,1
