Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Shivam Mavi,1079848,4,0,33,1,8.25,9,2,2,1,0,0
Prasidh Krishna,917159,4,0,56,0,14.00,5,4,4,3,0,0
Andre Russell,276298,1,0,9,0,9.00,3,2,0,0,0,0
Sunil Narine,230558,4,0,24,1,6.00,7,2,0,0,0,0
Piyush Chawla,32966,3,0,22,1,7.33,8,4,0,0,0,0
Kuldeep Yadav,559235,4,0,29,2,7.25,7,2,1,0,0,0
Bhuvneshwar Kumar,326016,4,0,38,0,9.50,9,6,1,0,0,1
Khaleel Ahmed,942645,3,0,38,0,12.66,7,2,4,1,0,1
Siddarth Kaul,326017,4,0,32,2,8.00,7,1,2,0,0,1
Rashid Khan,793463,4,0,19,3,4.75,12,2,0,0,0,1
Carlos Brathwaite,457249,2,0,15,2,7.50,6,3,0,0,0,1
Shakib Al Hasan,56143,3,0,16,1,5.33,6,1,0,0,0,1
