Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Cameron Bancroft,501011,c †de Kock b Philander,5,20,25,1,0,25.0,0
David Warner,219889,c de Villiers b Philander,51,79,119,6,0,64.56,0
Usman Khawaja,215155,c †de Kock b Rabada,14,19,30,3,0,73.68,0
Steven Smith (c),267192,c de Villiers b Maharaj,56,114,155,11,0,49.12,0
Shaun Marsh,6683,c de Villiers b Maharaj,40,96,132,6,0,41.67,0
Mitchell Marsh,272450,c Morkel b Philander,96,173,265,13,1,55.49,0
Tim Paine †,7252,c †de Kock b Rabada,25,72,103,3,0,34.72,0
Pat Cummins,489889, b Maharaj,3,38,51,0,0,7.89,0
Mitchell Starc,311592, b Maharaj,35,25,38,4,2,140.0,0
Nathan Lyon,272279,c de Bruyn b Maharaj,12,24,39,2,0,50.0,0
Josh Hazlewood,288284,not out ,2,4,6,0,0,50.0,0
Dean Elgar,230852,c & b Lyon,7,20,32,1,0,35.0,1
Aiden Markram,600498,c Bancroft b Cummins,32,59,82,6,0,54.24,1
Hashim Amla,43906,c Bancroft b Lyon,0,3,2,0,0,0.0,1
AB de Villiers,44936,not out ,71,127,202,11,0,55.91,1
Faf du Plessis (c),44828,c †Paine b Starc,15,22,35,1,1,68.18,1
Theunis de Bruyn,486672,c †Paine b Starc,6,15,28,1,0,40.0,1
Quinton de Kock †,379143, b Lyon,20,33,54,4,0,60.61,1
Vernon Philander,46945,c †Paine b Starc,8,19,20,1,0,42.11,1
Keshav Maharaj,267724, b Hazlewood,0,5,5,0,0,0.0,1
Kagiso Rabada,550215,lbw b Starc,3,5,6,0,0,60.0,1
Morne Morkel,46538, b Starc,0,2,2,0,0,0.0,1
Cameron Bancroft,501011,st †de Kock b Maharaj,53,83,115,10,0,63.86,2
David Warner,219889,c sub (PWA Mulder) b Rabada,28,35,59,4,0,80.0,2
Usman Khawaja,215155,c †de Kock b Maharaj,6,12,21,1,0,50.0,2
Steven Smith (c),267192,lbw b Elgar,38,81,97,3,0,46.91,2
Shaun Marsh,6683,c de Villiers b Morkel,33,99,153,5,0,33.33,2
Mitchell Marsh,272450,c Amla b Rabada,6,12,23,1,0,50.0,2
Tim Paine †,7252,c de Villiers b Maharaj,14,29,37,1,0,48.28,2
Pat Cummins,489889, b Maharaj,26,57,95,1,2,45.61,2
Mitchell Starc,311592,c Elgar b Morkel,7,16,25,1,0,43.75,2
Nathan Lyon,272279,c Amla b Morkel,2,11,25,0,0,18.18,2
Josh Hazlewood,288284,not out ,9,13,16,1,0,69.23,2
Aiden Markram,600498,c †Paine b MR Marsh,143,218,340,19,0,65.6,3
Dean Elgar,230852,c †Paine b Starc,9,20,30,2,0,45.0,3
Hashim Amla,43906,lbw b Hazlewood,8,19,18,1,0,42.11,3
AB de Villiers,44936,run out (Warner/Lyon),0,1,5,0,0,0.0,3
Faf du Plessis (c),44828, b Cummins,4,8,19,1,0,50.0,3
Theunis de Bruyn,486672,c †Paine b Hazlewood,36,84,111,6,0,42.86,3
Quinton de Kock †,379143,lbw b Hazlewood,83,149,218,11,0,55.7,3
Vernon Philander,46945,c †Paine b Starc,6,16,16,0,0,37.5,3
Keshav Maharaj,267724, b Starc,0,3,3,0,0,0.0,3
Kagiso Rabada,550215, b Starc,0,1,1,0,0,0.0,3
Morne Morkel,46538,not out ,3,38,43,0,0,7.89,3
