Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Rory Burns,398778,c †Dickwella b Lakmal,9,12,2,0,75.0,0
Keaton Jennings,440780, b Perera,46,53,7,0,86.79,0
Moeen Ali,8917, b Lakmal,0,1,0,0,0.0,0
Joe Root (c),303669, b Herath,35,46,5,0,76.09,0
Ben Stokes,311158, b Perera,7,19,1,0,36.84,0
Jos Buttler,308967,c †Dickwella b Perera,38,72,4,0,52.78,0
Ben Foakes †,364788,c de Silva b Lakmal,107,202,10,0,52.97,0
Sam Curran,662973,c Chandimal b Dananjaya,48,104,1,3,46.15,0
Adil Rashid,244497,c de Silva b Perera,35,38,4,2,92.11,0
Jack Leach,455524,c de Silva b Perera,15,31,2,0,48.39,0
James Anderson,8608,not out ,0,4,0,0,0.0,0
Dimuth Karunaratne,227772,c †Foakes b Anderson,4,2,1,0,200.0,1
Kaushal Silva,50482,lbw b Curran,1,6,0,0,16.67,1
Dhananjaya de Silva,465793, b Ali,14,47,0,0,29.79,1
Kusal Mendis,629074,c Stokes b Leach,19,32,4,0,59.38,1
Angelo Mathews,49764,c Jennings b Ali,52,122,3,0,42.62,1
Dinesh Chandimal (c),300628,st †Foakes b Rashid,33,72,3,0,45.83,1
Niroshan Dickwella †,429754,c Buttler b Ali,28,39,3,0,71.79,1
Dilruwan Perera,49920,c Buttler b Leach,21,49,2,0,42.86,1
Akila Dananjaya,574178,c †Foakes b Ali,0,3,0,0,0.0,1
Suranga Lakmal,49619,c Anderson b Rashid,15,20,2,0,75.0,1
Rangana Herath,49178,not out ,14,16,2,0,87.5,1
Rory Burns,398778,run out (Karunaratne),23,65,1,0,35.38,2
Keaton Jennings,440780,not out ,146,280,9,0,52.14,2
Moeen Ali,8917,c Herath b Perera,3,11,0,0,27.27,2
Joe Root (c),303669,c †Dickwella b Herath,3,19,0,0,15.79,2
Ben Stokes,311158, b Perera,62,93,4,3,66.67,2
Jos Buttler,308967,c Silva b Herath,35,58,2,1,60.34,2
Ben Foakes †,364788,c Mendis b Dananjaya,37,34,1,3,108.82,2
Sam Curran,662973,not out ,0,0,0,0,,2
Dimuth Karunaratne,227772,c & b Ali,26,86,1,0,30.23,3
Kaushal Silva,50482,lbw b Leach,30,59,1,0,50.85,3
Dhananjaya de Silva,465793,c Root b Stokes,21,44,0,1,47.73,3
Kusal Mendis,629074,c Ali b Leach,45,77,6,1,58.44,3
Angelo Mathews,49764,c Buttler b Ali,53,92,5,0,57.61,3
Dinesh Chandimal (c),300628, b Leach,1,11,0,0,9.09,3
Niroshan Dickwella †,429754,c Stokes b Ali,16,32,1,0,50.0,3
Dilruwan Perera,49920,c Stokes b Rashid,30,49,3,1,61.22,3
Akila Dananjaya,574178,c Stokes b Ali,8,18,0,0,44.44,3
Suranga Lakmal,49619,not out ,14,25,1,1,56.0,3
Rangana Herath,49178,run out (Stokes/†Foakes),5,18,0,0,27.78,3
