Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Virat Kohli (c),253802,c Jadeja b Harbhajan Singh,6,12,0,0,50.0,0
Parthiv Patel †,32242,c Jadhav b Bravo,29,35,2,0,82.86,0
Moeen Ali,8917,c & b Harbhajan Singh,9,8,0,1,112.5,0
AB de Villiers,44936,c Jadeja b Harbhajan Singh,9,10,0,0,90.0,0
Shimron Hetmyer,670025,run out (Raina/†Dhoni),0,2,0,0,0.0,0
Shivam Dube,714451,c Watson b Imran Tahir,2,5,0,0,40.0,0
Colin de Grandhomme,55395,c †Dhoni b Jadeja,4,6,1,0,66.67,0
Navdeep Saini,700167,c Watson b Imran Tahir,2,3,0,0,66.67,0
Yuzvendra Chahal,430246,c Harbhajan Singh b Imran Tahir,4,12,0,0,33.33,0
Umesh Yadav,376116, b Jadeja,1,10,0,0,10.0,0
Mohammed Siraj,940973,not out ,0,1,0,0,0.0,0
Shane Watson,8180, b Chahal,0,10,0,0,0.0,1
Ambati Rayudu,33141, b Mohammed Siraj,28,42,2,1,66.67,1
Suresh Raina,33335,c Dube b Ali,19,21,3,0,90.48,1
Kedar Jadhav,290716,not out ,13,19,1,0,68.42,1
Ravindra Jadeja,234675,not out ,6,15,0,0,40.0,1
