Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Prithvi Shaw,1070168,c †de Kock b McClenaghan,7,6,1,0,116.66,0
Shikhar Dhawan,28235,c Yadav b HH Pandya,43,36,4,1,119.44,0
Shreyas Iyer (c),642519,c Pollard b McClenaghan,16,10,2,1,160.00,0
Colin Ingram,45705,c HH Pandya b Cutting,47,32,7,1,146.87,0
Rishabh Pant †,931581,not out ,78,27,7,7,288.88,0
Keemo Paul,677081,c †de Kock b McClenaghan,3,5,0,0,60.00,0
Axar Patel,554691,c Rasikh Salam b Bumrah,4,2,1,0,200.00,0
Rahul Tewatia,423838,not out ,9,4,0,1,225.00,0
Rohit Sharma (c),34102,c Tewatia b Sharma,14,13,2,0,107.69,1
Quinton de Kock †,379143,c Boult b Sharma,27,16,4,1,168.75,1
Suryakumar Yadav,446507,run out (Iyer),2,6,0,0,33.33,1
Yuvraj Singh,36084,c Tewatia b Rabada,53,35,5,3,151.42,1
Kieron Pollard,230559,c Tewatia b Paul,21,13,2,1,161.53,1
Hardik Pandya,625371,c & b Patel,0,2,0,0,0.00,1
Krunal Pandya,471342,c Tewatia b Boult,32,15,5,1,213.33,1
Ben Cutting,230371,c †Pant b Rabada,3,4,0,0,75.00,1
Mitchell McClenaghan,319439,st †Pant b Tewatia,10,8,2,0,125.00,1
Rasikh Salam,1161489,not out ,5,4,0,0,125.00,1
Jasprit Bumrah,625383,absent hurt,-,-,-,-,0.00,1
