Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Babar Azam,348144, b Tye,50,40,5,1,125.0,0
Sahibzada Farhan,647785,c Tye b Lyon,39,38,2,3,102.63,0
Mohammad Hafeez,41434,not out ,32,20,3,1,160.0,0
Shoaib Malik,42657,c Finch b Zampa,18,12,2,0,150.0,0
Asif Ali,494230,c Coulter-Nile b Marsh,4,5,1,0,80.0,0
Faheem Ashraf,681117,c Tye b Marsh,0,1,0,0,0.0,0
Imad Wasim,227758,not out ,3,4,0,0,75.0,0
Alex Carey †,326434,c Faheem Ashraf b Mohammad Hafeez,20,9,2,2,222.22,1
Aaron Finch (c),5334,c Mohammad Hafeez b Faheem Ashraf,1,3,0,0,33.33,1
Chris Lynn,326637,c Faheem Ashraf b Shadab Khan,15,13,2,0,115.38,1
Ben McDermott,603410,run out (Babar Azam/†Sarfraz Ahmed),21,20,2,1,105.0,1
Glenn Maxwell,325026,c Shoaib Malik b Shadab Khan,4,8,0,0,50.0,1
Mitchell Marsh,272450,c Shoaib Malik b Shadab Khan,21,24,0,1,87.5,1
D'Arcy Short,308798,c Shoaib Malik b Usman Shinwari,10,15,1,0,66.67,1
Nathan Coulter-Nile,261354,run out (Shadab Khan),0,1,0,0,0.0,1
Andrew Tye,459508,c †Sarfraz Ahmed b Hasan Ali,5,9,0,0,55.56,1
Adam Zampa,379504,c Imad Wasim b Hasan Ali,9,10,1,0,90.0,1
Nathan Lyon,272279,not out ,4,4,0,0,100.0,1
