Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
David Warner (c),219889,c †Dhoni b Singh,11,14,16,0,1,78.57,0
Shikhar Dhawan,28235,c Tiwary b Ashwin,33,27,48,2,2,122.22,0
Kane Williamson,277906,c Bhatia b Zampa,32,37,61,3,0,86.49,0
Yuvraj Singh,36084,c Tiwary b Zampa,23,21,18,1,2,109.52,0
Moises Henriques,5961,c Bhatia b Zampa,10,8,12,1,0,125.0,0
Deepak Hooda,497121,st †Dhoni b Zampa,14,5,9,0,2,280.0,0
Naman Ojha †,32102, b Zampa,7,5,9,1,0,140.0,0
Bhuvneshwar Kumar,326016,c Tiwary b Zampa,1,2,3,0,0,50.0,0
Barinder Sran,537126,not out ,1,1,1,0,0,100.0,0
Ajinkya Rahane,277916,c †Ojha b Kumar,0,3,1,0,0,0.0,1
Usman Khawaja,215155,run out (Hooda/†Ojha),11,8,18,2,0,137.5,1
George Bailey,4451,c Nehra b Henriques,34,40,54,3,1,85.0,1
Ravichandran Ashwin,26421,c †Ojha b Sran,29,25,49,3,0,116.0,1
Saurabh Tiwary,35390,c Dhawan b Nehra,9,10,19,1,0,90.0,1
MS Dhoni (c)†,28081,run out (Sran/Yuvraj Singh),30,20,36,1,2,150.0,1
Thisara Perera,233514,c Henriques b Nehra,17,13,25,0,1,130.77,1
Rajat Bhatia,26907,not out ,0,0,4,0,0,,1
Adam Zampa,379504,c †Ojha b Nehra,0,1,1,0,0,0.0,1
