Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Max Bryant,1088608, b Cook,36,23,4,2,156.52,0
Brendon McCullum,37737,c Fawad Ahmed b Sandhu,56,35,3,4,160.0,0
Chris Lynn (c),326637,c Green b Cook,54,30,4,4,180.0,0
Ben Cutting,230371,lbw b Cook,3,4,0,0,75.0,0
Matt Renshaw,722303,c Sandhu b Fawad Ahmed,0,2,0,0,0.0,0
Jimmy Peirson †,444970,not out ,16,10,2,0,160.0,0
Marnus Labuschagne,787987,c Cook b Fawad Ahmed,0,2,0,0,0.0,0
James Pattinson,272465,lbw b Green,0,4,0,0,0.0,0
Brendan Doggett,931603,c Cook b Sams,4,5,0,0,80.0,0
Mitchell Swepson,590326,not out ,9,7,1,0,128.57,0
Jos Buttler †,308967,lbw b Pattinson,5,7,1,0,71.43,1
Shane Watson (c),8180,not out ,13,14,0,1,92.86,1
Callum Ferguson,5236,c Bryant b Doggett,16,12,1,1,133.33,1
Joe Root,303669,not out ,0,0,0,0,,1
