Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Fakhar Zaman,512191,c Morgan b Curran,7,6,1,0,116.67,0
Babar Azam,348144,run out (Archer),65,42,5,3,154.76,0
Imam-ul-Haq,568276,c †Foakes b Archer,7,10,0,0,70.0,0
Haris Sohail,318788,c Willey b Archer,50,36,5,1,138.89,0
Asif Ali,494230,run out ,3,3,0,0,100.0,0
Imad Wasim,227758,not out ,18,13,3,0,138.46,0
Faheem Ashraf,681117,c Denly b Jordan,17,10,1,1,170.0,0
Hasan Ali,681305,not out ,0,0,0,0,,0
James Vince,296597,c †Sarfaraz Ahmed b Imad Wasim,36,27,3,1,133.33,1
Ben Duckett,521637,c Imad Wasim b Shaheen Shah Afridi,9,7,1,0,128.57,1
Joe Root,303669,c †Sarfaraz Ahmed b Hasan Ali,47,42,5,0,111.9,1
Eoin Morgan (c),24598,not out ,57,29,5,3,196.55,1
Joe Denly,12454,not out ,20,12,2,1,166.67,1
