Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Paul Stirling,303427,c Asghar Afghan b Gulbadin Naib,71,94,131,6,2,75.53,0
James McCollum,470917,lbw b Dawlat Zadran,4,10,22,0,0,40.0,0
Andy Balbirnie,303423,c †Mohammad Shahzad b Dawlat Zadran,4,8,18,1,0,50.0,0
William Porterfield (c),24611,c Dawlat Zadran b Rashid Khan,53,83,84,6,0,63.86,0
Kevin O'Brien,24605,c Mujeeb Ur Rahman b Aftab Alam,32,44,52,4,0,72.73,0
Gary Wilson †,24609,run out (Rahmat Shah),10,12,18,0,0,83.33,0
George Dockrell,348034,lbw b Rashid Khan,14,18,39,0,0,77.78,0
Mark Adair,526441, b Aftab Alam,7,10,8,0,0,70.0,0
Andy McBrine,417381,c Hashmatullah Shahidi b Dawlat Zadran,3,7,12,0,0,42.86,0
Tim Murtagh,17134,not out ,3,5,12,0,0,60.0,0
Boyd Rankin,24599, b Aftab Alam,1,2,4,0,0,50.0,0
Mohammad Shahzad †,419873,lbw b Murtagh,2,14,16,0,0,14.29,1
Hazratullah Zazai,793457, b Adair,14,40,49,2,0,35.0,1
Rahmat Shah,533956,c Stirling b Murtagh,4,12,18,0,0,33.33,1
Asghar Afghan,320652,lbw b Rankin,29,51,94,3,0,56.86,1
Hashmatullah Shahidi,440970,c †Wilson b Adair,12,31,28,1,0,38.71,1
Mohammad Nabi,25913,c †Wilson b O'Brien,27,25,41,2,2,108.0,1
Gulbadin Naib (c),352048,c sub (TE Kane) b Adair,20,18,38,2,0,111.11,1
Rashid Khan,793463,c Porterfield b Rankin,16,11,9,0,2,145.45,1
Dawlat Zadran,516561,c †Wilson b Rankin,0,3,4,0,0,0.0,1
Aftab Alam,440963,not out ,5,7,17,1,0,71.43,1
Mujeeb Ur Rahman,974109,c & b Adair,0,2,2,0,0,0.0,1
