Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Fakhar Zaman,512191,c Umar Akmal b Mohammad Nawaz,3,4,0,0,75.0,0
Sohail Akhtar,532424,c †Sarfaraz Ahmed b Ghulam Mudassar,29,21,1,3,138.1,0
Salman Butt,42683,c Ahsan Ali b Ghulam Mudassar,5,7,0,0,71.43,0
AB de Villiers (c),44936,not out ,45,40,2,0,112.5,0
Corey Anderson,277662,c Mohammad Nawaz b Anwar Ali,19,18,0,1,105.56,0
David Wiese,221140,c Smith b Sohail Tanvir,20,16,0,1,125.0,0
Gauhar Ali †,321154,lbw b Ghulam Mudassar,5,5,0,0,100.0,0
Yasir Shah,43685,c Ahsan Ali b Sohail Tanvir,1,4,0,0,25.0,0
Sandeep Lamichhane,960361,not out ,5,5,0,0,100.0,0
Shane Watson,8180,c sub (AP Devcich) b Rahat Ali,0,3,0,0,0.0,1
Ahsan Ali,348146, b Lamichhane,40,29,2,2,137.93,1
Rilee Rossouw,318845, b Yasir Shah,17,14,3,0,121.43,1
Umar Akmal,317273,c †Gauhar Ali b Haris Rauf,9,13,1,0,69.23,1
Sarfaraz Ahmed (c)†,227760,not out ,52,36,4,1,144.44,1
Dwayne Smith,53118,run out (Fakhar Zaman),2,3,0,0,66.67,1
Mohammad Nawaz,348148,c Sohail Akhtar b Haris Rauf,19,18,0,1,105.56,1
Anwar Ali,232491, b Wiese,1,2,0,0,50.0,1
Sohail Tanvir,43265,not out ,2,2,0,0,100.0,1
