Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Quinton de Kock †,379143,c Chibhabha b Mpofu,5,5,7,1,0,100.0,0
Gihahn Cloete,381030,c Masakadza b Jarvis,2,3,3,0,0,66.67,0
Faf du Plessis (c),44828,c Chisoro b Mavuta,34,20,25,5,2,170.0,0
Rassie van der Dussen,337790,c Masakadza b Mpofu,56,44,69,5,1,127.27,0
David Miller,321777,c Williams b Jarvis,39,34,42,1,2,114.71,0
Christiaan Jonker,222320,c Masakadza b Jarvis,8,5,11,0,1,160.0,0
Andile Phehlukwayo,540316,not out ,4,8,10,0,0,50.0,0
Junior Dala,545467,not out ,0,1,5,0,0,0.0,0
Chamu Chibhabha,55354, b Imran Tahir,3,5,6,0,0,60.0,1
Hamilton Masakadza (c),55608,lbw b Imran Tahir,1,7,7,0,0,14.29,1
Brendan Taylor †,55814,c †de Kock b Dala,19,23,30,3,0,82.61,1
Tarisai Musakanda,596375,c †de Kock b Imran Tahir,0,1,2,0,0,0.0,1
Sean Williams,55870, b Imran Tahir,21,22,36,2,0,95.45,1
Peter Moor,333000,c Jonker b Phehlukwayo,44,21,46,1,5,209.52,1
Elton Chigumbura,55343,lbw b Imran Tahir,0,1,1,0,0,0.0,1
Tendai Chisoro,235519,c & b Phehlukwayo,2,5,5,0,0,40.0,1
Brandon Mavuta,806239,c Ngidi b Dala,28,14,15,2,2,200.0,1
Kyle Jarvis,332996, b Ngidi,0,3,5,0,0,0.0,1
Chris Mpofu,55633,not out ,0,2,4,0,0,0.0,1
