Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Usman Khawaja,215155,c Heazlett b Lalor,22,13,5,0,169.23,0
Alex Hales,249866,c Heazlett b Steketee,7,8,1,0,87.5,0
Callum Ferguson (c),5236,not out ,73,44,6,3,165.91,0
Matthew Gilkes †,1081730,c Heazlett b Laughlin,4,6,1,0,66.67,0
Alex Ross,333624,c Lynn b Swepson,30,27,2,0,111.11,0
Daniel Sams,826901, b Swepson,0,1,0,0,0.0,0
Chris Green,787073,c & b Cutting,25,17,2,1,147.06,0
Arjun Nair,901157,not out ,5,4,1,0,125.0,0
Tom Banton †,877051,c McAndrew b Cook,16,7,1,2,228.57,1
Max Bryant,1088608,c Green b Cook,11,10,1,1,110.0,1
Chris Lynn (c),326637,c Ferguson b Tremain,9,9,0,1,100.0,1
Matt Renshaw,722303,c McAndrew b Green,26,24,2,1,108.33,1
Sam Heazlett,826679,c Hales b Nair,12,12,1,0,100.0,1
Ben Cutting,230371, b Sams,28,18,2,2,155.56,1
Mark Steketee,555853, b Green,15,17,1,1,88.24,1
Josh Lalor,272385,run out (Cook/†Gilkes),1,2,0,0,50.0,1
Mitchell Swepson,590326,c Green b Nair,3,5,0,0,60.0,1
Ben Laughlin,315623,c Ross b Sams,7,9,0,0,77.78,1
Zahir Khan,712219,not out ,3,3,0,0,100.0,1
