Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Aaron Finch,5334, b Kumar,0,4,3,0,0,0.0,0
Brendon McCullum,37737,c Hooda b Bipul Sharma,18,17,34,1,1,105.88,0
Suresh Raina (c),33335,c Henriques b Kumar,75,51,86,9,0,147.06,0
Dinesh Karthik †,30045,c Kumar b Hooda,8,9,11,1,0,88.89,0
Dwayne Bravo,51439,c Kumar b Sran,8,12,11,0,0,66.67,0
Ravindra Jadeja,234675, b Mustafizur Rahman,14,14,18,0,0,100.0,0
Akshdeep Nath,500360,c Bipul Sharma b Kumar,5,10,13,0,0,50.0,0
Dale Steyn,47492,c Morgan b Kumar,1,2,2,0,0,50.0,0
Praveen Kumar,30732,not out ,1,1,2,0,0,100.0,0
David Warner (c),219889,not out ,74,48,61,9,0,154.17,1
Shikhar Dhawan,28235,not out ,53,41,61,5,0,129.27,1
