Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Daniel Hughes,571761,lbw b Watson,20,19,2,1,105.26,0
Michael Lumb,16406, b Green,11,10,2,0,110.0,0
Nic Maddinson,333780,c Green b Fawad Ahmed,7,10,0,0,70.0,0
Moises Henriques (c),5961,c Gibson b Fawad Ahmed,13,13,1,0,100.0,0
Colin Munro,232359, b Fawad Ahmed,1,7,0,0,14.29,0
Brad Haddin †,5560,c Patterson b Brathwaite,4,4,1,0,100.0,0
Johan Botha,44149, b Brathwaite,3,7,0,0,42.86,0
Sean Abbott,398666,c Brathwaite b Fawad Ahmed,4,8,0,0,50.0,0
Ben Dwarshuis,679567,not out ,19,24,0,0,79.17,0
Nathan Lyon,272279,c Patterson b Brathwaite,9,11,0,0,81.82,0
Jackson Bird,215152,not out ,2,7,0,0,28.57,0
Kurtis Patterson,505110,not out ,38,26,5,0,146.15,1
James Vince,296597,c Bird b Abbott,28,18,3,1,155.56,1
Shane Watson (c),8180,c Botha b Abbott,4,3,1,0,133.33,1
Ben Rohrer,7547,not out ,26,13,2,1,200.0,1
