Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Solomon Mire,290462,lbw b Mujeeb Ur Rahman,9,10,2,0,90.0,0
Hamilton Masakadza,55608,run out (Najibullah Zadran/†Mohammad Shahzad),48,54,5,2,88.89,0
Brendan Taylor †,55814, b Rashid Khan,125,121,5,8,103.31,0
Craig Ervine,55412,c †Mohammad Shahzad b Rashid Khan,14,30,1,0,46.67,0
Sikandar Raza,299572,c Ihsanullah b Gulbadin Naib,92,74,9,4,124.32,0
Malcolm Waller,55872,not out ,17,12,2,0,141.67,0
Ryan Burl,495964,not out ,11,5,2,0,220.0,0
Mohammad Shahzad †,419873,c Muzarabani b Vitori,15,20,1,1,75.0,1
Ihsanullah,703323,c Vitori b Chatara,2,6,0,0,33.33,1
Rahmat Shah,533956,c sub (†PJ Moor) b Muzarabani,43,61,7,0,70.49,1
Asghar Afghan (c),320652,c †Taylor b Chatara,1,6,0,0,16.67,1
Nasir Jamal,524048,c Burl b Chatara,0,3,0,0,0.0,1
Najibullah Zadran,524049,c Ervine b Muzarabani,3,11,0,0,27.27,1
Mohammad Nabi,25913, b Cremer,31,28,3,2,110.71,1
Gulbadin Naib,352048,lbw b Cremer,0,1,0,0,0.0,1
Rashid Khan,793463,c Burl b Cremer,8,8,1,0,100.0,1
Dawlat Zadran,516561,not out ,47,29,2,6,162.07,1
Mujeeb Ur Rahman,974109, b Cremer,15,8,2,1,187.5,1
