Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Martin Guptill,226492,c Shoaib Malik b Fakhar Zaman,48,72,118,4,2,66.67,0
Colin Munro,232359,c †Sarfraz Ahmed b Hasan Ali,58,35,59,6,2,165.71,0
Kane Williamson (c),277906,c Hasan Ali b Rumman Raees,115,117,158,8,1,98.29,0
Ross Taylor,38699, b Hasan Ali,12,14,29,0,0,85.71,0
Tom Latham †,388802,c Babar Azam b Faheem Ashraf,3,7,8,0,0,42.86,0
Henry Nicholls,539511,c †Sarfraz Ahmed b Hasan Ali,50,43,64,4,0,116.28,0
Mitchell Santner,502714,c Rumman Raees b Mohammad Amir,7,5,12,1,0,140.0,0
Tim Southee,232364,not out ,12,7,10,2,0,171.43,0
Todd Astle,213674,not out ,0,0,1,0,0,,0
Azhar Ali,39037,lbw b Southee,6,4,4,1,0,150.0,1
Fakhar Zaman,512191,not out ,82,86,132,5,4,95.35,1
Babar Azam,348144,lbw b Southee,0,1,1,0,0,0.0,1
Mohammad Hafeez,41434,c Southee b Boult,1,9,13,0,0,11.11,1
Shoaib Malik,42657,c †Latham b Southee,13,14,20,3,0,92.86,1
Sarfaraz Ahmed (c)†,227760,lbw b Astle,8,23,31,1,0,34.78,1
Shadab Khan,922943,c †Latham b Boult,28,32,42,4,0,87.5,1
Faheem Ashraf,681117,not out ,17,12,15,2,1,141.67,1
