Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
David Warner (c),219889,c Rahane b Dinda,0,4,2,0,0,0.0,0
Shikhar Dhawan,28235,not out ,56,53,95,2,1,105.66,0
Aditya Tare,333904,c Perera b Dinda,8,14,18,1,0,57.14,0
Eoin Morgan,24598,c †Dhoni b Marsh,0,2,2,0,0,0.0,0
Deepak Hooda,497121,c †Dhoni b R Ashwin,1,9,8,0,0,11.11,0
Moises Henriques,5961,c †Dhoni b Marsh,1,4,3,0,0,25.0,0
Naman Ojha †,32102, b Dinda,18,21,38,0,1,85.71,0
Bipul Sharma,35928,run out (Perera),5,5,7,0,0,100.0,0
Bhuvneshwar Kumar,326016,c du Plessis b Perera,21,8,8,3,1,262.5,0
Ashish Nehra,31820,not out ,0,0,1,0,0,,0
Ajinkya Rahane,277916,c Morgan b Kumar,0,5,2,0,0,0.0,1
Faf du Plessis,44828,c †Ojha b Henriques,30,21,46,3,2,142.86,1
Steven Smith,267192,not out ,46,36,54,7,0,127.78,1
MS Dhoni (c)†,28081,c Tare b Nehra,5,4,8,1,0,125.0,1
Saurabh Tiwary,35390,not out ,0,0,1,0,0,,1
