Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Ajinkya Rahane,277916, b Russell,2,6,0,0,33.33,0
Usman Khawaja,215155,c Yadav b Shakib Al Hasan,21,17,3,0,123.53,0
George Bailey,4451,st †Uthappa b Chawla,33,27,3,1,122.22,0
Saurabh Tiwary,35390,c †Uthappa b Rajpoot,13,12,1,0,108.33,0
Irfan Pathan,32685,run out (Chawla/†Uthappa),7,8,0,0,87.5,0
MS Dhoni (c)†,28081,not out ,8,22,0,0,36.36,0
Thisara Perera,233514,c Pandey b Chawla,13,11,0,1,118.18,0
Ravichandran Ashwin,26421,not out ,0,4,0,0,0.0,0
Robin Uthappa †,35582,st †Dhoni b R Ashwin,4,1,1,0,400.0,1
Gautam Gambhir (c),28763,lbw b R Ashwin,0,1,0,0,0.0,1
Manish Pandey,290630,not out ,15,10,1,0,150.0,1
Yusuf Pathan,32498,not out ,37,18,4,3,205.56,1
