Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Ben McDermott †,603410, b Richardson,2,6,0,0,33.33,0
D'Arcy Short,308798,c Patterson b Hardie,54,47,7,0,114.89,0
Dawid Malan,236489,c Hardie b Behrendorff,0,6,0,0,0.0,0
Peter Handscomb (c),334337, b Fawad Ahmed,13,13,1,0,100.0,0
Colin Ingram,45705,c Patterson b Hardie,18,18,3,0,100.0,0
Tim David,892749,not out ,31,23,2,2,134.78,0
Mitchell Owen,1213979,not out ,11,7,2,0,157.14,0
Jason Roy,298438,not out ,74,52,8,3,142.31,1
Liam Livingstone,403902,c Malan b Boland,54,39,4,4,138.46,1
Josh Inglis †,662235,not out ,7,7,1,0,100.0,1
