Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Jonny Bairstow,297433,c & b Holder,13,17,25,1,1,76.47,0
Alex Hales,249866,lbw b Cummins,36,35,52,5,0,102.86,0
Joe Root,303669,lbw b Cummins,84,79,120,7,2,106.33,0
Eoin Morgan (c),24598,c †Hope b Holder,0,1,3,0,0,0.0,0
Ben Stokes,311158,c Lewis b Powell,73,63,75,5,3,115.87,0
Jos Buttler †,308967, b Cummins,2,4,5,0,0,50.0,0
Moeen Ali,8917,c Holder b Nurse,102,57,79,7,8,178.95,0
Chris Woakes,247235,c Powell b Taylor,34,34,58,1,1,100.0,0
Liam Plunkett,19264,run out (Taylor),9,6,13,1,0,150.0,0
David Willey,308251,not out ,1,3,8,0,0,33.33,0
Adil Rashid,244497,not out ,9,3,5,2,0,300.0,0
Chris Gayle,51880,run out (Rashid),94,78,112,9,6,120.51,1
Evin Lewis,431901,c Ali b Willey,13,8,9,0,2,162.5,1
Shai Hope †,581379,c †Buttler b Plunkett,20,25,40,4,0,80.0,1
Marlon Samuels,52983,c †Buttler b Plunkett,11,11,17,1,0,100.0,1
Jason Mohammed,230549,c Bairstow b Plunkett,38,53,75,3,1,71.7,1
Rovman Powell,820351,c Woakes b Rashid,8,9,11,0,1,88.89,1
Jason Holder (c),391485,c Ali b Plunkett,34,26,43,1,3,130.77,1
Ashley Nurse,315594,lbw b Rashid,1,5,5,0,0,20.0,1
Devendra Bishoo,341593,c Morgan b Plunkett,12,14,14,2,0,85.71,1
Jerome Taylor,53191, b Rashid,0,1,1,0,0,0.0,1
Miguel Cummins,556749,not out ,4,5,5,1,0,80.0,1
