Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Mohammad Shahzad †,419873,lbw b Murtagh,5,15,1,0,33.33,0
Hazratullah Zazai,793457,run out (Murtagh),34,33,3,2,103.03,0
Rahmat Shah,533956,lbw b McBrine,1,10,0,0,10.0,0
Asghar Afghan (c),320652,c O'Brien b Rankin,75,109,4,3,68.81,0
Hashmatullah Shahidi,440970, b Cameron-Dow,11,15,2,0,73.33,0
Samiullah Shinwari,318339,c Balbirnie b Dockrell,4,3,1,0,133.33,0
Najibullah Zadran,524049,not out ,104,98,5,5,106.12,0
Mohammad Nabi,25913,c †Poynter b Rankin,2,4,0,0,50.0,0
Rashid Khan,793463,c Simi Singh b Murtagh,8,10,1,0,80.0,0
Dawlat Zadran,516561,not out ,2,3,0,0,66.67,0
William Porterfield (c),24611,lbw b Mujeeb Ur Rahman,3,10,0,0,30.0,1
Paul Stirling,303427,c Asghar Afghan b Dawlat Zadran,20,26,4,0,76.92,1
Andy Balbirnie,303423,not out ,145,136,8,8,106.62,1
Simi Singh,1005257,lbw b Dawlat Zadran,1,2,0,0,50.0,1
Kevin O'Brien,24605,c Asghar Afghan b Samiullah Shinwari,21,25,2,1,84.0,1
George Dockrell,348034,st †Mohammad Shahzad b Mohammad Nabi,54,77,1,1,70.13,1
Stuart Poynter †,308294,c Hazratullah Zazai b Rashid Khan,0,3,0,0,0.0,1
Andy McBrine,417381,not out ,9,15,0,0,60.0,1
