Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Rahul Tripathi,446763,not out ,80,58,5,3,137.93,0
Jofra Archer,669855,c †Patel b Yadav,0,4,0,0,0.0,0
Ajinkya Rahane (c),277916,lbw b Yadav,33,31,3,0,106.45,0
Sanju Samson,425943,c Ali b Yadav,0,1,0,0,0.0,0
Heinrich Klaasen †,436757,c Ali b Mohammed Siraj,32,21,3,1,152.38,0
Krishnappa Gowtham,424377,run out (†Patel/Southee),14,5,0,2,280.0,0
Virat Kohli (c),253802, b Gowtham,4,9,0,0,44.44,1
Parthiv Patel †,32242,st †Klaasen b Gopal,33,21,3,2,157.14,1
AB de Villiers,44936,st †Klaasen b Gopal,53,35,7,0,151.43,1
Moeen Ali,8917,c & b Gopal,1,2,0,0,50.0,1
Mandeep Singh,398506,st †Klaasen b Gopal,3,4,0,0,75.0,1
Colin de Grandhomme,55395,c Rahane b Sodhi,2,3,0,0,66.67,1
Sarfaraz Khan,642525,c †Klaasen b Laughlin,7,8,1,0,87.5,1
Tim Southee,232364,c Gowtham b Unadkat,14,17,2,0,82.35,1
Umesh Yadav,376116, b Laughlin,0,1,0,0,0.0,1
Mohammed Siraj,940973,c Gowtham b Unadkat,14,12,2,0,116.67,1
Yuzvendra Chahal,430246,not out ,0,4,0,0,0.0,1
