Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Prithvi Shaw,1070168,c †Latham b de Grandhomme,20,21,37,3,0,95.24,0
Mayank Agarwal,398438,c Blundell b Southee,32,31,41,6,0,103.23,0
Virat Kohli (c),253802, b Sodhi,51,63,88,6,0,80.95,0
Shreyas Iyer,642519,c Santner b Southee,103,107,161,11,1,96.26,0
KL Rahul †,422108,not out ,88,64,102,3,6,137.5,0
Kedar Jadhav,290716,not out ,26,15,26,3,1,173.33,0
Martin Guptill,226492,c Jadhav b Thakur,32,41,75,1,0,78.05,1
Henry Nicholls,539511,run out (Kohli),78,82,128,11,0,95.12,1
Tom Blundell,440516,st †Rahul b Kuldeep Yadav,9,10,14,1,0,90.0,1
Ross Taylor,38699,not out ,109,84,139,10,4,129.76,1
Tom Latham (c)†,388802,c Mohammed Shami b Kuldeep Yadav,69,48,69,8,2,143.75,1
James Neesham,355269,c Jadhav b Mohammed Shami,9,14,17,1,0,64.29,1
Colin de Grandhomme,55395,run out (Iyer/Kohli),1,2,5,0,0,50.0,1
Mitchell Santner,502714,not out ,12,9,9,1,1,133.33,1
