Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
William Porterfield (c),24611, b Mujeeb Ur Rahman,1,9,0,0,11.11,0
Paul Stirling,303427, b Gulbadin Naib,89,150,6,3,59.33,0
Andy Balbirnie,303423,lbw b Mujeeb Ur Rahman,2,20,0,0,10.0,0
James McCollum,470917,lbw b Mujeeb Ur Rahman,0,1,0,0,0.0,0
Kevin O'Brien,24605,c Asghar Afghan b Gulbadin Naib,10,14,1,0,71.43,0
Simi Singh,1005257,lbw b Mohammad Nabi,8,32,0,0,25.0,0
Stuart Poynter †,308294,lbw b Dawlat Zadran,7,16,0,0,43.75,0
George Dockrell,348034, b Rashid Khan,37,47,3,1,78.72,0
Barry McCarthy,348059,lbw b Dawlat Zadran,0,4,0,0,0.0,0
Tim Murtagh,17134,lbw b Dawlat Zadran,0,2,0,0,0.0,0
Boyd Rankin,24599,not out ,4,3,1,0,133.33,0
Mohammad Shahzad †,419873,c Murtagh b Rankin,43,53,6,0,81.13,1
Hazratullah Zazai,793457,c O'Brien b McCarthy,25,42,3,1,59.52,1
Rahmat Shah,533956,c Simi Singh b Rankin,22,46,3,0,47.83,1
Hashmatullah Shahidi,440970,c †Poynter b Simi Singh,9,29,1,0,31.03,1
Gulbadin Naib,352048,c & b Dockrell,46,61,6,1,75.41,1
Asghar Afghan (c),320652,not out ,7,17,0,0,41.18,1
Najibullah Zadran,524049,not out ,12,3,0,2,400.0,1
