Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Martin Guptill,226492,c Mendis b Malinga,2,5,0,0,40.0,0
Colin Munro,232359, b Malinga,21,14,4,0,150.0,0
Kane Williamson (c),277906,c de Silva b Sandakan,55,65,6,1,84.62,0
Ross Taylor,38699,c de Silva b Malinga,137,131,9,4,104.58,0
Henry Nicholls,539511,not out ,124,80,12,3,155.0,0
James Neesham,355269,not out ,12,6,1,1,200.0,0
Niroshan Dickwella †,429754,c Ferguson b Neesham,46,37,3,2,124.32,1
Dhananjaya de Silva,465793,lbw b Southee,36,29,5,1,124.14,1
Kusal Perera,300631,c †Seifert b Ferguson,43,49,5,1,87.76,1
Kusal Mendis,629074,run out (Williamson/†Seifert),0,0,0,0,,1
Dasun Shanaka,437316,lbw b Sodhi,2,7,0,0,28.57,1
Thisara Perera,233514,c Guptill b Ferguson,80,63,7,3,126.98,1
Danushka Gunathilaka,345821, b Ferguson,31,52,1,0,59.62,1
Dushmantha Chameera,552152,c Southee b Ferguson,1,8,0,0,12.5,1
Lasith Malinga (c),49758,st †Seifert b Sodhi,0,1,0,0,0.0,1
Lakshan Sandakan,429738,not out ,0,1,0,0,0.0,1
Nuwan Pradeep,324358, b Sodhi,0,3,0,0,0.0,1
