Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Reeza Hendricks,269280,c Washington Sundar b Chahar,6,11,19,1,0,54.55,0
Quinton de Kock (c)†,379143,c Kohli b Saini,52,37,53,8,0,140.54,0
Temba Bavuma,372116,c Jadeja b Chahar,49,43,59,3,1,113.95,0
Rassie van der Dussen,337790,c & b Jadeja,1,2,5,0,0,50.0,0
David Miller,321777, b HH Pandya,18,15,29,0,1,120.0,0
Dwaine Pretorius,327830,not out ,10,7,17,0,1,142.86,0
Andile Phehlukwayo,540316,not out ,8,5,11,0,1,160.0,0
Rohit Sharma,34102,lbw b Phehlukwayo,12,12,21,0,2,100.0,1
Shikhar Dhawan,28235,c Miller b Shamsi,40,31,56,4,1,129.03,1
Virat Kohli (c),253802,not out ,72,52,66,4,3,138.46,1
Rishabh Pant †,931581,c Shamsi b Fortuin,4,5,11,0,0,80.0,1
Shreyas Iyer,642519,not out ,16,14,20,2,0,114.29,1
