Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Imam-ul-Haq,568276,c Verreynne b Maharaj,57,73,96,3,0,78.08,0
Fakhar Zaman,512191,c †Klaasen b Maharaj,101,104,155,9,3,97.12,0
Babar Azam (c),348144,c Verreynne b Phehlukwayo,94,82,118,7,3,114.63,0
Mohammad Rizwan,323389,st †Klaasen b Maharaj,2,7,10,0,0,28.57,0
Sarfaraz Ahmed †,227760,c & b Smuts,13,13,18,2,0,100.0,0
Faheem Ashraf,681117,c & b Markram,1,2,5,0,0,50.0,0
Mohammad Nawaz,348148,c Bavuma b Markram,4,10,10,0,0,40.0,0
Hasan Ali,681305,not out ,32,11,16,1,4,290.91,0
Janneman Malan,605680,lbw b Mohammad Nawaz,70,81,105,9,0,86.42,1
Aiden Markram,600498,c †Sarfaraz Ahmed b Shaheen Shah Afridi,18,21,41,2,1,85.71,1
JJ Smuts,280490, b Usman Qadir,17,18,26,2,0,94.44,1
Temba Bavuma (c),372116, b Mohammad Nawaz,20,23,42,2,0,86.96,1
Kyle Verreynne,595004,c Usman Qadir b Haris Rauf,62,53,101,3,3,116.98,1
Heinrich Klaasen †,436757,lbw b Mohammad Nawaz,4,12,18,0,0,33.33,1
Andile Phehlukwayo,540316,c †Sarfaraz Ahmed b Hasan Ali,54,61,85,3,2,88.52,1
Keshav Maharaj,267724, b Shaheen Shah Afridi,19,11,19,3,0,172.73,1
Beuran Hendricks,379927,c †Sarfaraz Ahmed b Haris Rauf,1,5,7,0,0,20.0,1
Lutho Sipamla,698143,not out ,4,5,19,0,0,80.0,1
Daryn Dupavillon,501907, b Shaheen Shah Afridi,17,10,12,2,1,170.0,1
