Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Tom Banton,877051,c Fakhar Zaman b Wiese,34,15,4,2,226.67,0
Kamran Akmal †,41028,c Sohail Akhtar b Shaheen Shah Afridi,14,9,2,0,155.56,0
Haider Ali,1168651,c †Vilas b Dilbar Hussain,34,12,1,4,283.33,0
Liam Livingstone,403902,c & b Wiese,5,4,1,0,125.0,0
Mohammad Mohsin,935881,c Patel b Dilbar Hussain,0,6,0,0,0.0,0
Lewis Gregory,362201, b Dilbar Hussain,16,8,0,2,200.0,0
Daren Sammy (c),53115,c Shaheen Shah Afridi b Dilbar Hussain,12,9,0,1,133.33,0
Wahab Riaz,43590,not out ,13,10,0,1,130.0,0
Fakhar Zaman,512191,c Livingstone b Gregory,22,19,1,1,115.79,1
Chris Lynn,326637,c Hasan Ali b Gregory,30,15,4,1,200.0,1
Mohammad Hafeez,41434,c Banton b Gregory,1,3,0,0,33.33,1
Dane Vilas †,262456,c Haider Ali b Mohammad Amir Khan,2,5,0,0,40.0,1
Samit Patel,18632,not out ,34,15,5,1,226.67,1
Sohail Akhtar (c),532424,c †Kamran Akmal b Gregory,12,5,0,2,240.0,1
David Wiese,221140,c Banton b Wahab Riaz,9,7,2,0,128.57,1
Salman Irshad,781705,not out ,2,4,0,0,50.0,1
