Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Alex Carey †,326434,c Kohli b Kumar,5,11,1,0,45.45,0
Aaron Finch (c),5334,lbw b Kumar,14,24,1,0,58.33,0
Usman Khawaja,215155,c & b Chahal,34,51,2,0,66.67,0
Shaun Marsh,6683,st †Dhoni b Chahal,39,54,3,0,72.22,0
Peter Handscomb,334337,lbw b Chahal,58,63,2,0,92.06,0
Marcus Stoinis,325012,c Sharma b Chahal,10,20,1,0,50.0,0
Glenn Maxwell,325026,c Kumar b Mohammed Shami,26,19,5,0,136.84,0
Jhye Richardson,774223,c Jadhav b Chahal,16,23,1,0,69.57,0
Adam Zampa,379504,c Shankar b Chahal,8,14,0,0,57.14,0
Peter Siddle,7898,not out ,10,11,1,0,90.91,0
Billy Stanlake,533042, b Mohammed Shami,0,2,0,0,0.0,0
Rohit Sharma,34102,c Marsh b Siddle,9,17,1,0,52.94,1
Shikhar Dhawan,28235,c & b Stoinis,23,46,0,0,50.0,1
Virat Kohli (c),253802,c †Carey b Richardson,46,62,3,0,74.19,1
MS Dhoni †,28081,not out ,87,114,6,0,76.32,1
Kedar Jadhav,290716,not out ,61,57,7,0,107.02,1
