Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Rohit Sharma,34102,c Ali b Leach,161,231,327,18,2,69.7,0
Shubman Gill,1070173,lbw b Stone,0,3,9,0,0,0.0,0
Cheteshwar Pujara,32540,c Stokes b Leach,21,58,90,2,0,36.21,0
Virat Kohli (c),253802, b Ali,0,5,6,0,0,0.0,0
Ajinkya Rahane,277916, b Ali,67,149,234,9,0,44.97,0
Rishabh Pant †,931581,not out ,58,77,105,7,3,75.32,0
Ravichandran Ashwin,26421,c Pope b Root,13,19,32,1,0,68.42,0
Axar Patel,554691,st †Foakes b Ali,5,14,31,1,0,35.71,0
Ishant Sharma,236779,c Burns b Ali,0,2,3,0,0,0.0,0
Kuldeep Yadav,559235,c †Foakes b Stone,0,15,27,0,0,0.0,0
Mohammed Siraj,940973,c †Foakes b Stone,4,2,4,1,0,200.0,0
Rory Burns,398778,lbw b I Sharma,0,3,5,0,0,0.0,1
Dom Sibley,519082,c Kohli b Ashwin,16,25,37,3,0,64.0,1
Dan Lawrence,641423,c Shubman Gill b Ashwin,9,52,69,0,0,17.31,1
Joe Root (c),303669,c Ashwin b Patel,6,12,13,0,0,50.0,1
Ben Stokes,311158, b Ashwin,18,34,42,1,0,52.94,1
Ollie Pope,887207,c †Pant b Mohammed Siraj,22,57,68,1,0,38.6,1
Ben Foakes †,364788,not out ,42,107,135,4,0,39.25,1
Moeen Ali,8917,c Rahane b Patel,6,30,43,1,0,20.0,1
Olly Stone,457279,c RG Sharma b Ashwin,1,4,4,0,0,25.0,1
Jack Leach,455524,c †Pant b I Sharma,5,34,29,1,0,14.71,1
Stuart Broad,10617, b Ashwin,0,2,6,0,0,0.0,1
Rohit Sharma,34102,st †Foakes b Leach,26,70,91,2,1,37.14,2
Shubman Gill,1070173,lbw b Leach,14,28,45,0,1,50.0,2
Cheteshwar Pujara,32540,run out (Pope/†Foakes),7,23,36,1,0,30.43,2
Virat Kohli (c),253802,lbw b Ali,62,149,200,7,0,41.61,2
Rishabh Pant †,931581,st †Foakes b Leach,8,11,17,1,0,72.73,2
Ajinkya Rahane,277916,c Pope b Ali,10,14,21,2,0,71.43,2
Axar Patel,554691,lbw b Ali,7,18,24,1,0,38.89,2
Ravichandran Ashwin,26421, b Stone,106,148,235,14,1,71.62,2
Kuldeep Yadav,559235,lbw b Ali,3,9,13,0,0,33.33,2
Ishant Sharma,236779,c Stone b Leach,7,24,47,1,0,29.17,2
Mohammed Siraj,940973,not out ,16,21,46,0,2,76.19,2
Rory Burns,398778,c Kohli b Ashwin,25,42,58,4,0,59.52,3
Dom Sibley,519082,lbw b Patel,3,25,32,0,0,12.0,3
Dan Lawrence,641423,st †Pant b Ashwin,26,53,65,2,1,49.06,3
Jack Leach,455524,c RG Sharma b Patel,0,1,5,0,0,0.0,3
Joe Root (c),303669,c Rahane b Patel,33,92,133,3,0,35.87,3
Ben Stokes,311158,c Kohli b Ashwin,8,51,52,0,0,15.69,3
Ollie Pope,887207,c I Sharma b Patel,12,20,26,1,0,60.0,3
Ben Foakes †,364788,c Patel b Kuldeep Yadav,2,9,17,0,0,22.22,3
Moeen Ali,8917,st †Pant b Kuldeep Yadav,43,18,27,3,5,238.89,3
Olly Stone,457279,lbw b Patel,0,5,8,0,0,0.0,3
Stuart Broad,10617,not out ,5,10,15,1,0,50.0,3
