Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Fakhar Zaman,512191, b Shadab Khan,33,26,5,0,126.92,0
Chris Lynn,326637,c Amad Butt b Muhammad Musa,11,8,2,0,137.5,0
Mohammad Hafeez,41434,not out ,98,57,7,7,171.93,0
Sohail Akhtar (c),532424,c Ingram b Ahmed Safi Abdullah,1,6,0,0,16.67,0
Dane Vilas †,262456,c †Ronchi b Shadab Khan,3,4,0,0,75.0,0
Samit Patel,18632,c Ingram b Faheem Ashraf,10,9,0,1,111.11,0
David Wiese,221140,c Amad Butt b Faheem Ashraf,19,9,2,1,211.11,0
Muhammad Faizan,1218226,not out ,0,1,0,0,0.0,0
Luke Ronchi †,7502,c Wiese b Shaheen Shah Afridi,1,4,0,0,25.0,1
Colin Munro,232359, b Mohammad Hafeez,2,4,0,0,50.0,1
Dawid Malan,236489,c Sohail Akhtar b Wiese,22,22,3,0,100.0,1
Shadab Khan (c),922943,c Patel b Haris Rauf,52,29,3,4,179.31,1
Colin Ingram,45705,c Fakhar Zaman b Patel,30,14,1,3,214.29,1
Asif Ali,494230,c †Vilas b Shaheen Shah Afridi,18,11,2,1,163.64,1
Hussain Talat,628240,c †Vilas b Shaheen Shah Afridi,5,7,0,0,71.43,1
Faheem Ashraf,681117, b Haris Rauf,11,7,2,0,157.14,1
Amad Butt,717373,c †Vilas b Shaheen Shah Afridi,8,4,0,1,200.0,1
Ahmed Safi Abdullah,800983,not out ,8,8,1,0,100.0,1
Muhammad Musa,1072472,not out ,17,11,2,1,154.55,1
