Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jason Roy,298438, b Christian,21,16,4,0,131.25,0
Liam Livingstone,403902,c Bird b Ball,67,38,3,6,176.32,0
Colin Munro,232359,c Bird b Brathwaite,34,32,4,0,106.25,0
Ashton Turner (c),500268,c Silk b Ball,1,4,0,0,25.0,0
Josh Inglis †,662235,c Vince b O'Keefe,2,5,0,0,40.0,0
Cameron Bancroft,501011,c †Philippe b Brathwaite,1,3,0,0,33.33,0
Aaron Hardie,1124283,c Ball b Christian,12,12,1,0,100.0,0
Jhye Richardson,774223,not out ,6,6,0,0,100.0,0
Andrew Tye,459508,not out ,8,4,0,1,200.0,0
Josh Philippe †,1124282, b Richardson,84,52,10,1,161.54,1
Justin Avendano,1125715,c Bancroft b Behrendorff,8,13,1,0,61.54,1
James Vince,296597, b Fawad Ahmed,52,35,5,1,148.57,1
Daniel Hughes (c),571761,not out ,11,9,1,0,122.22,1
Dan Christian,4864,not out ,7,4,1,0,175.0,1
