Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Chris Gayle,51880,c †Mushfiqur Rahim b Mohammad Saifuddin,0,13,17,0,0,0.0,0
Evin Lewis,431901,c sub (Sabbir Rahman) b Shakib Al Hasan,70,67,105,6,2,104.48,0
Shai Hope †,581379,c Liton Das b Mustafizur Rahman,96,121,191,4,1,79.34,0
Nicholas Pooran,604302,c Soumya Sarkar b Shakib Al Hasan,25,30,29,2,1,83.33,0
Shimron Hetmyer,670025,c Tamim Iqbal b Mustafizur Rahman,50,26,34,4,3,192.31,0
Andre Russell,276298,c †Mushfiqur Rahim b Mustafizur Rahman,0,2,5,0,0,0.0,0
Jason Holder (c),391485,c Mahmudullah b Mohammad Saifuddin,33,15,18,4,2,220.0,0
Darren Bravo,277472, b Mohammad Saifuddin,19,15,36,0,2,126.67,0
Oshane Thomas,914567,not out ,6,11,20,0,0,54.55,0
Tamim Iqbal,56194,run out (Cottrell),48,53,87,6,0,90.57,1
Soumya Sarkar,436677,c Gayle b Russell,29,23,38,2,2,126.09,1
Shakib Al Hasan,56143,not out ,124,99,170,16,0,125.25,1
Mushfiqur Rahim †,56029,c †Hope b Thomas,1,5,11,0,0,20.0,1
Liton Das,536936,not out ,94,69,112,8,4,136.23,1
