Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Danushka Gunathilaka,345821,lbw b Shadab Khan,57,38,8,1,150.0,0
Avishka Fernando,784369,run out (Shadab Khan),33,34,3,0,97.06,0
Bhanuka Rajapaksa,342619,lbw b Mohammad Hasnain,32,22,2,2,145.45,0
Dasun Shanaka (c),437316,c Umar Akmal b Mohammad Hasnain,17,10,0,2,170.0,0
Shehan Jayasuriya,422965,c Ahmed Shehzad b Mohammad Hasnain,2,6,0,0,33.33,0
Isuru Udana,328026,not out ,5,4,0,0,125.0,0
PWH de Silva,784379,not out ,7,6,1,0,116.67,0
Babar Azam,348144,c †Bhanuka b Pradeep,13,10,2,0,130.0,1
Ahmed Shehzad,259410, b Udana,4,9,0,0,44.44,1
Umar Akmal,317273,lbw b Pradeep,0,1,0,0,0.0,1
Sarfaraz Ahmed (c)†,227760, b de Silva,24,30,1,0,80.0,1
Iftikhar Ahmed,480603,run out (Shanaka/Udana),25,24,2,0,104.17,1
Asif Ali,494230,c Gunathilaka b de Silva,6,10,0,0,60.0,1
Imad Wasim,227758,c de Silva b Rajitha,7,5,1,0,140.0,1
Faheem Ashraf,681117,c Gunathilaka b Pradeep,8,8,1,0,100.0,1
Shadab Khan,922943,c Fernando b Udana,6,7,1,0,85.71,1
Mohammad Amir,290948,c Gunathilaka b Udana,1,2,0,0,50.0,1
Mohammad Hasnain,1158100,not out ,0,0,0,0,,1
