Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Matt Renshaw,722303,c Webster b Prestwidge,30,23,5,0,130.43,0
Phil Salt,669365,c Harvey b Hatzoglou,59,42,3,3,140.48,0
Alex Carey (c)†,326434,c Prestwidge b Imad Wasim,42,25,3,3,168.0,0
Jake Weatherald,781285,c Fraser-McGurk b Hatzoglou,19,10,1,2,190.0,0
Ryan Gibson,825211, b Hatzoglou,1,2,0,0,50.0,0
Jonathan Wells,233680,not out ,16,13,1,0,123.08,0
Rashid Khan,793463,c Fraser-McGurk b Prestwidge,0,1,0,0,0.0,0
Danny Briggs,310107,c Mohammad Nabi b Richardson,2,4,0,0,50.0,0
Mackenzie Harvey,1076382, b Briggs,14,13,2,0,107.69,1
Aaron Finch (c),5334,lbw b Agar,14,15,1,0,93.33,1
Sam Harper †,772361,c Gibson b Rashid Khan,18,14,2,0,128.57,1
Mohammad Nabi,25913,not out ,71,41,9,2,173.17,1
Jack Prestwidge,977451,lbw b Rashid Khan,14,13,1,1,107.69,1
Jake Fraser-McGurk,1168049,not out ,29,23,0,2,126.09,1
