Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Sunil Narine,230558, b Kumar,6,9,10,1,0,66.67,0
Gautam Gambhir (c),28763, b Rashid Khan,15,16,28,2,0,93.75,0
Robin Uthappa †,35582,c Rashid Khan b Cutting,68,39,59,5,4,174.36,0
Manish Pandey,290630,c Warner b Kumar,46,35,59,3,2,131.43,0
Yusuf Pathan,32498,not out ,21,15,30,1,1,140.0,0
Suryakumar Yadav,446507,c †Ojha b Nehra,4,3,5,1,0,133.33,0
Colin de Grandhomme,55395, b Kumar,0,2,3,0,0,0.0,0
Chris Woakes,247235,not out ,1,1,2,0,0,100.0,0
David Warner (c),219889,c Woakes b Kuldeep Yadav,26,30,42,4,0,86.67,1
Shikhar Dhawan,28235,c de Grandhomme b Pathan,23,22,28,4,0,104.55,1
Moises Henriques,5961,c & b Woakes,13,10,19,2,0,130.0,1
Yuvraj Singh,36084,c sub (R Dhawan) b Woakes,26,16,27,2,2,162.5,1
Deepak Hooda,497121,st †Uthappa b Narine,13,7,12,1,1,185.71,1
Ben Cutting,230371,c de Grandhomme b Boult,15,10,21,1,1,150.0,1
Naman Ojha †,32102,not out ,11,11,25,0,0,100.0,1
Bipul Sharma,35928,not out ,21,14,12,2,1,150.0,1
