Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Mohammad Hafeez,41434,c Finch b Stanlake,0,3,0,0,0.0,0
Fakhar Zaman,512191,c †Carey b Stanlake,6,11,1,0,54.55,0
Hussain Talat,628240,c Finch b Stanlake,10,10,2,0,100.0,0
Sarfaraz Ahmed (c)†,227760,c Finch b Stanlake,4,5,0,0,80.0,0
Shoaib Malik,42657,run out (Maddinson/†Carey),13,16,1,0,81.25,0
Asif Ali,494230, b Stoinis,22,20,0,2,110.0,0
Shadab Khan,922943,c Head b Tye,29,25,1,1,116.0,0
Faheem Ashraf,681117,c Tye b Richardson,21,17,2,1,123.53,0
Mohammad Nawaz,348148,c Agar b Tye,6,11,0,0,54.55,0
Hasan Ali,681305,c Agar b Tye,0,1,0,0,0.0,0
Usman Shinwari,697279,not out ,0,0,0,0,,0
D'Arcy Short,308798,c Hussain Talat b Hasan Ali,15,14,3,0,107.14,1
Aaron Finch (c),5334,not out ,68,33,4,6,206.06,1
Travis Head,530011,not out ,20,18,1,0,111.11,1
